-181.398, 52.622, 3.601, 14.569
-181.397, 52.502, 3.612, 14.602
-181.397, 52.381, 3.624, 14.635
-181.397, 52.260, 3.635, 14.668
-181.397, 52.139, 3.647, 14.701
-181.397, 52.017, 3.658, 14.734
-181.397, 51.895, 3.670, 14.767
-181.397, 51.772, 3.682, 14.800
-181.397, 51.649, 3.693, 14.833
-181.396, 51.526, 3.705, 14.866
-181.396, 51.402, 3.717, 14.899
-181.396, 51.278, 3.728, 14.932
-181.396, 51.153, 3.740, 14.965
-181.396, 51.028, 3.752, 14.998
-181.396, 50.903, 3.764, 15.031
-181.396, 50.777, 3.776, 15.064
-181.396, 50.651, 3.788, 15.097
-181.396, 50.524, 3.800, 15.130
-181.396, 50.397, 3.812, 15.163
-181.395, 50.270, 3.824, 15.196
-181.395, 50.142, 3.836, 15.229
-181.395, 50.014, 3.849, 15.262
-181.395, 49.885, 3.861, 15.295
-181.395, 49.756, 3.873, 15.328
-181.395, 49.627, 3.885, 15.361
-181.395, 49.497, 3.898, 15.394
-181.395, 49.367, 3.910, 15.427
-181.395, 49.236, 3.922, 15.460
-181.395, 49.105, 3.935, 15.493
-181.395, 48.974, 3.947, 15.526
-181.395, 48.842, 3.959, 15.559
-181.395, 48.709, 3.971, 15.592
-181.394, 48.577, 3.983, 15.625
-181.394, 48.444, 3.994, 15.658
-181.394, 48.310, 4.006, 15.691
-181.394, 48.177, 4.017, 15.724
-181.394, 48.042, 4.029, 15.757
-181.394, 47.908, 4.040, 15.790
-181.394, 47.773, 4.051, 15.823
-181.394, 47.638, 4.063, 15.856
-181.394, 47.502, 4.074, 15.889
-181.394, 47.366, 4.085, 15.922
-181.394, 47.229, 4.096, 15.955
-181.394, 47.092, 4.107, 15.988
-181.394, 46.955, 4.118, 16.021
-181.394, 46.818, 4.129, 16.054
-181.394, 46.680, 4.140, 16.087
-181.394, 46.542, 4.151, 16.120
-181.394, 46.403, 4.162, 16.153
-181.394, 46.264, 4.174, 16.186
-181.394, 46.125, 4.185, 16.219
-181.394, 45.985, 4.196, 16.252
-181.394, 45.845, 4.207, 16.285
-181.394, 45.704, 4.218, 16.318
-181.394, 45.563, 4.229, 16.351
-181.394, 45.422, 4.241, 16.384
-181.394, 45.280, 4.252, 16.417
-181.394, 45.138, 4.263, 16.450
-181.394, 44.996, 4.275, 16.483
-181.394, 44.853, 4.286, 16.516
-181.394, 44.710, 4.297, 16.549
-181.394, 44.566, 4.309, 16.582
-181.394, 44.423, 4.320, 16.615
-181.394, 44.278, 4.332, 16.648
-181.394, 44.134, 4.343, 16.681
-181.394, 43.988, 4.355, 16.714
-181.394, 43.843, 4.367, 16.747
-181.394, 43.697, 4.378, 16.780
-181.394, 43.551, 4.390, 16.813
-181.394, 43.404, 4.402, 16.846
-181.394, 43.257, 4.413, 16.879
-181.394, 43.110, 4.425, 16.912
-181.394, 42.962, 4.437, 16.945
-181.394, 42.814, 4.449, 16.978
-181.394, 42.665, 4.461, 17.011
-181.394, 42.516, 4.473, 17.044
-181.394, 42.367, 4.485, 17.077
-181.394, 42.217, 4.497, 17.110
-181.394, 42.067, 4.509, 17.143
-181.394, 41.916, 4.521, 17.176
-181.394, 41.765, 4.533, 17.209
-181.394, 41.614, 4.545, 17.242
-181.394, 41.462, 4.558, 17.275
-181.394, 41.310, 4.570, 17.308
-181.394, 41.157, 4.582, 17.341
-181.394, 41.004, 4.595, 17.374
-181.394, 40.851, 4.607, 17.407
-181.394, 40.697, 4.619, 17.440
-181.394, 40.542, 4.632, 17.473
